"category_id","threshold_duration_time_in_mega_promotion"
"6421","30"
"6422","30"
"6423","30"
"6424","30"
"6426","30"
"6427","30"
"6429","30"
"6430","30"
"6431","30"
"6439","30"
"6440","30"
"6441","30"
"6442","30"
"6444","30"
"6450","30"
"6452","30"
"6454","30"
"6455","30"
"6457","30"
"6458","30"
"6459","30"
"6462","30"
"6463","30"
"6467","30"
"6469","30"
"6472","30"
"6474","30"
"6475","30"
"6478","30"
"6479","30"
"6480","30"
"6481","30"
"6482","30"
"6483","30"
"6484","30"
"6485","30"
"6487","30"
"6488","30"
"6489","30"
"6490","30"
"6493","30"
"6494","30"
"6496","30"
"6497","30"
"6498","30"
"6499","30"
"6501","30"
"6503","30"
"6505","30"
"6507","30"
"6508","30"
"6509","30"
"6510","30"
"6512","30"
"6515","30"
"6516","30"
"6517","30"
"6518","30"
"6523","30"
"6525","30"
